245,తండ్రి పేరు
246,తల్లి పేరు
247,శిశువు జన్మించిన్ తేది
248,సమాచారము సేకరించిన తేది (మొదటి త్రైమాసికము)
249,పాఠశాలలో ప్రవేశము (మొదటి త్రైమాసికము)
250,ఇంటిపనులలో పాల్గొంటాడా (మొదటి త్రైమాసికము)
251,ఇంటిపనులలో పాల్గొంటాడా - పాఠశాలకు వెళ్ళే ముందు ఇంటిపనులలో పాల్గొంటాడా (మొదటి త్రైమాసికము)
252,ఇంటిపనులలో పాల్గొంటాడా - పాఠశాలకు నుండి వచ్చిన తరువాత (మొదటి త్రైమాసికము)
253,ఆర్థిక సంపాదన కు సంభందించిన కార్యక్రమాలలో పాల్గొంటాడా/పాల్గొంటుందా? (మొదటి త్రైమాసికము)
254,ఎన్ని గంటలు పని చేస్తాడు/చేస్తుంది (మొదటి త్రైమాసికము)
255,ఒక నెలలో ఎన్ని రోజులు పనిలో పాల్గొంటాడు/పాల్గొంటుంది? (మొదటి త్రైమాసికము)
256,ఏ రంగములో పని చేస్తాడు/చేస్తుంది(ఆర్థిక వరమైన కార్యక్రమాలు) (మొదటి త్రైమాసికము)
257,ఇతరములైతే వివరించండి (మొదటి త్రైమాసికము)
258,వెట్టిఛాకిరి చేస్తున్నాడా/చేస్తున్నాదా?(మొదటి త్రైమాసికము)
259,బాలుడు/బాలిక వలస వెళ్ళినారా (మొదటి త్రైమాసికము)
260,వలస వెళ్ళుటకు కారణము (మొదటి త్రైమాసికము)
599,వలస వెళ్ళన ప్రాంతము (మొదటి త్రైమాసికము)
600,ఏ ర్ంగములో పని కొరకు వల్స వెళ్ళినారు/వచ్చినారు? (మొదటి త్రైమాసికము)
601,ఇతరములైతే వివరించండి
