89,అంగన్ వాడి తరహొ
108,అంగన్ వాడి కేంద్రము వనిప్రార్ంభించిన సంవత్సరము
111,అంగన్ వాడి కేంద్రము సీవలందించుచున్న జనాభా సంఖ్య
113,అదనవు అంగన్ వాడి కేంద్రము యొక్క ఆవశ్యకత
114,అంగన్ వాడి కార్యకర్త ఉన్నారా?
115,అంగన్ వాడి కార్యకర్త ఈ కేంద్రములో ఉద్యోహములో చేరిన నెల్ మరియు సంవత్సరము
116,అంగన్ వాడి కార్యకర్త ఇదే పంచాయితి/వార్డు చెందినదా?
117,అదనవు అంగన్ వాడి కార్యకర్త / పోషణకర్త ఉన్నారా?
118,అంగన్ వాడి సహోయకురాలు ఉన్నారా?
119,నమోదు కాబడిన 0-3 సంవత్సరముల వయను బాలుర సంఖ్య
120,నమోదు కాబడిన 0-3 సంవత్సరముల వయను బాలికల్ సంఖ్య
121,0-3 సంవత్సరముల వయనుకల మొత్తము బాలబాలిక సంఖ్య
122,నమోదు కాబడిన 3-6 సంవత్సరముల వయను బాలుర సంఖ్య
123,నమోదు కాబడిన 3-6 సంవత్సరముల వయను బాలికల సంఖ్య
124,3-6 సంవత్సరముల వయనుకల మొత్తము బాలబాలిక సంఖ్య
125,నమోదు కాబడిన మొత్తము కిశోరబాలికల్ (11-18 వయస్సు) సంఖ్య
126,నమోదు కాబడిన మొత్తము గర్భిణి స్త్రీల సంఖ్య
127,నమోదు కాబడిన్ మొత్తము బాలింతల్ సంఖ్య
128,స్వంత భవనము ఉన్నదా?
129,ఏ తరహ భవనము
130,వంటచేయు స్థలమునకు పైకప్పు ఉన్నదా?
131,త్రాగునీరు ఉన్నదా?
132,ఉపయోగముఅలో ఉన్న (పనిచేయుచున్న) మరుగుదొడ్లు ఉన్నాయా?
133,మరుగు దొడ్లలో నీటి వసతి ఉందా?
134,ప్రీస్కూల్ (పూర్వ ప్రాథమిక పాఠశాల) కు సంబంధించిన విద్యా సామగ్రి ఉందా?
135, పిల్లలు ఇంటికి రేషన్ తీనుకు వెళుతున్నారా?
136,వండిన (తినుటకు అనుకూలమైన) ఆహారము ఉన్నదా>
137,వ్యాధినిరోధక టీకాలు వేసె సౌకర్యం ఉందా?
138,ఆరోగ్యవరీక్షలు నిర్వహించే సౌకర్యం ఉందా?
139,రెఫరల్ సౌకర్యము ఉందా?
140,"పోషణ, ఆరోగ్య మరియు విద్యానాకర్యములు ఉన్నవా?"
141,కిశోర బాలికలకొరక-కౌన్సిలింగ సౌకర్యము ఉందా?
596,రెఫరల్ కు పంపిన బాలుర సంఖ్య
597,రెఫరల్ కు పంపిన బాలికర సంఖ్య
