Form Id,Form Name,ID,Question Name,Question Type,Question Acitve Status,Hindi,Marathi,
2,School Level Information,44,Name of the School,T,0,Name of the School - स्कूल का नाम,School Name- शाळेचे नाव,
2,School Level Information,45,School Name,T,0,School ID - स्कूल यूनिक आई डी,School ID - शाळेचे यूनिक आई डी,
2,School Level Information,46,Lowest class in School,S,2,Lowest class in School - स्कूल की निम्नतम कक्षा,Lowest class in School- शाळेतील सर्वात कमी वर्ग,
2,School Level Information,47,Highest class in school,S,2,Highest class in school - स्कूल की उच्चतम कक्षा,Highest class in school- शाळेतील सर्वात उच्च वर्ग,
2,School Level Information,48,Category of School,R,2,Category of School - स्कूल की श्रेणी,Category of School - शाळेचा प्रवर्ग,
2,School Level Information,49,Type of School,R,2,Type of School - स्कूल का प्रकार,Type of School - शाळेचा प्रकार,
2,School Level Information,50,Total number of room in School,T,2,Total number of room in School - स्कूल में कुल कमरों की संख्या,Total number of room in School-शाळेतील एकूण खोल्यांची संख्या,
2,School Level Information,51,Total number of class rooms,T,2,Total number of class rooms - अध्ययन कक्षों की कुल संख्या,Total number of class rooms - शाळेतील एकूण वर्गखोल्यांची संख्या,
2,School Level Information,52,Official medium of instruction,T,2,Official medium of instruction - शिक्षण का शासकीय माध्यम,Official medium of instruction- शिक्षणाचे अधिकृत माध्यम,
2,School Level Information,53,If the official medium matches with local language,R,2,If the official medium matches with local language - क्या शिक्षण का शासकीय माध्यम स्थानीय भाषा से मेल खाता है,If the official medium matches with local language - जर कार्यालयीन कामकाजाची भाषा स्थानिक भाषेशी जुळत असेल तर,
2,School Level Information,54,Total SC Boys,T,2,Total SC Boys- कुल अ. जा. के लड़के,Total SC Boys-एकूण अ. जा. मुले,
2,School Level Information,55,Total SC Girls,T,2,Total SC Girls - कुल अ. जा. की लड़कियाँ,Total SC Girls - एकूण अ. जा. मुली,
2,School Level Information,56,Total ST Boys,T,2,Total ST Boys - कुल अ. ज. जा. के लड़के,Total ST Boys - एकूण अ. ज. मुले,
2,School Level Information,57,Total ST Girls,T,2,Total ST Girls - कुल अ.ज. जा. की लड़कियाँ,Total ST Girls - एकूण अ. ज. मुली,
2,School Level Information,58,Total OBC Boys,T,2,Total OBC Boys - कुल अ. पि. व. लड़के,Total OBC Boys -एकूण इतर मागासवर्गीय वर्ग मुले,
2,School Level Information,59,Total OBC Girls,T,2,Total OBC Girls - कुल अ. पि. व. लड़कियाँ,Total OBC Girls - एकूण इतर मागासवर्गीय वर्ग मुली,
2,School Level Information,60,Total Other Boys (Caste),T,2,Total Other Boys (Caste) - कुल अन्य लड़के,Total Other Boys (Caste) - एकूण इतर मुले,
2,School Level Information,61,Total Other Girls (Caste),T,2,Total Other Girls (Caste) - कुल अन्य लड़कियाँ,Total Other Girls (Caste) - एकूण इतर मुली,
2,School Level Information,62,Total Hindu Boys,T,2,Total Hindu Boys - कुल हिन्दू लड़के,Total Hindu Boys - एकूण हिंदू मुले,
2,School Level Information,63,Total Hindu Girls,T,2,Total Hindu Girls - कुल हिन्दू लड़कियाँ,Total Hindu Girls - एकूण हिंदू मुली,
2,School Level Information,64,Total Muslim Boys,T,2,Total Muslim Boys - कुल मुस्लिम लड़के,Total Muslim Boys - एकूण मुसलमान मुले,
2,School Level Information,65,Total Muslim Girls,T,2,Total Muslim Girls - कुल मुस्लिम लड़कियाँ,Total Muslim Girls - एकूण मुसलमान मुली,
2,School Level Information,66,Total Christian Boys,T,2,Total Christian Boys - कुल ईसाई लड़के,Total Christian Boys - एकूण ख्रिश्चन मुले,
2,School Level Information,67,Total Christian Girls,T,2,Total Christian Girls - कुल ईसाई लड़कियाँ,Total Christian Girls - एकूण ख्रिश्चन मुली,
2,School Level Information,68,Total Sikh Boys,T,2,Total Sikh Boys - कुल सिक्ख लड़के,Total Sikh Boys - एकूण शीख मुले,
2,School Level Information,69,Total Sikh Girls,T,2,Total Sikh Girls - कुल सिक्ख लड़कियाँ,Total Sikh Girls - एकूण शीख मुली,
2,School Level Information,70,Total Buddhist Boys,T,2,Total Buddhist Boys - कुल बौद्ध लड़के,Total Buddhist Boys - एकूण बौद्ध मुले,
2,School Level Information,71,Total Buddhist Girls,T,2,Total Buddhist Girls - कुल बौद्ध लड़कियाँ,Total Buddhist Girls - एकूण बौद्ध मुली,
2,School Level Information,72,Total Jain Boys,T,2,Total Jain Boys - कुल जैन लड़के,Total Jain Boys - एकूण जैन मुले,
2,School Level Information,73,Total Jain Girls,T,2,Total Jain Girls - कुल जैन लड़कियाँ,Total Jain Girls - एकूण जैन मुली,
2,School Level Information,74,Total Boys,T,2,Total Boys - कुल लड़के,Total Boys - एकूण मुले,
2,School Level Information,75,Total Girls,T,2,Total Girls - कुल लड़कियाँ,Total Girls - एकूण मुली,
2,School Level Information,76,Total Children,T,2,Total Children - कुल बच्चे,Total Children - एकूण मुले,
